song_title,tempo_id,synch,digital_perf,other,digital_mech,mech,perf,song_total
Dark Place,6185818,0.00,2.48,0.00,5.65,0.19,0.00,8.32
Darkness,4857859,0.00,0.50,0.00,0.46,3.50,0.02,4.48
Day One,6635710,0.02,3.28,0.00,3.12,0.00,0.00,6.42
Daydream,5737012,0.16,0.02,0.00,0.19,0.62,15.46,16.45
Dazed,5074541,0.00,0.19,0.00,0.00,0.00,0.00,0.19
Decent Driver,5074655,0.00,88.50,0.00,41.92,0.35,0.00,130.77
Deep,6717910,0.00,0.02,0.00,0.03,0.07,0.00,0.12
Deep In The Water,6292126,0.00,0.90,0.00,0.13,0.03,6.90,7.96
Deep Sleep,1251591,11143.92,11.01,0.10,6.29,24.28,23.51,11209.11
Deeper,6933804,0.00,0.04,0.00,0.04,2.83,0.64,3.55
Delirious,733998,0.93,5.48,0.00,22.82,0.00,12.54,41.77
Departure,6186405,0.00,0.03,0.00,0.00,0.00,0.00,0.03
Destiny,6828136,4.71,0.54,0.28,0.89,0.29,0.00,6.71
Die Alone,7248736,0.00,0.29,0.00,0.64,0.00,0.00,0.93
Different,7252006,0.00,0.02,0.00,0.21,0.00,0.00,0.23
Dilemma,7248654,0.00,0.01,0.00,0.00,0.00,0.00,0.01
Diseased By Desire,5408993,0.67,0.00,0.00,0.00,0.00,0.00,0.67
Disorganic,6717913,0.00,0.00,0.00,0.00,1.21,0.00,1.21
Dnd,6183336,0.00,0.42,0.00,1.26,0.85,22.92,25.45
Doing Fine,6647168,0.00,0.08,0.00,0.09,1.75,0.49,2.41
Don't Call,5468731,0.00,0.55,0.00,1.42,0.04,0.00,2.01
Don't Die With Your Dreams,5386406,0.00,0.02,0.00,0.06,2.52,0.00,2.60
Don't Say Goodbye,5356836,0.05,7.81,0.00,20.84,0.45,29.01,58.16
Don't Slip,7196074,0.13,1.71,0.00,0.00,0.00,0.00,1.84
Don't Want You Back,6647148,0.00,0.23,0.00,0.13,3.45,0.03,3.84
Double Hustle,7248734,0.00,0.28,0.00,0.72,0.00,0.00,1.00
Drastikol,6717920,0.00,0.00,0.00,0.00,0.19,0.00,0.19
Drober,6718015,0.00,0.00,0.00,0.00,0.43,0.00,0.43
Drowning,6635701,0.00,3.45,0.00,4.45,0.00,0.00,7.90
Drunk Feat Lady Leshurr,4858033,0.00,0.00,0.00,0.01,0.21,0.22,0.44
Dull Things,6718018,0.00,0.03,0.00,0.04,0.00,0.00,0.07
Dust,5356837,0.00,0.41,0.00,0.98,0.00,0.00,1.39
Eclipse,6718022,0.00,0.00,0.00,0.07,0.00,0.00,0.07
Edge Of My Nerves,5409049,0.00,0.56,0.00,0.22,1.02,3.77,5.57
Electric Lives,4857881,0.00,0.56,0.00,0.39,3.23,0.27,4.45
Empire,6718025,0.00,0.00,0.00,0.02,1.35,0.00,1.37
Et Kys I Morket,5409218,0.00,0.01,0.00,0.00,0.72,2.35,3.08
Even The Sea Feels Fine (Sometimes),5613857,0.00,0.07,0.00,0.09,0.33,9.21,9.70
Excuse Me,726135,1.25,0.00,0.00,3.52,0.00,0.00,4.77
Face Front,6183327,0.14,0.25,0.01,1.10,0.16,261.06,262.72
Faded,6828138,0.00,0.02,0.00,0.00,0.20,4.72,4.94
Famous Till The End,4857884,0.00,0.02,0.00,0.05,0.77,0.01,0.85
Farming,6718035,0.00,0.00,0.00,0.00,0.06,0.00,0.06
Fearless,4858077,0.00,0.00,0.00,0.03,0.66,0.32,1.01
Feel Like You Wanna,6484960,0.81,0.58,0.02,0.90,0.72,0.00,3.03
Feel Together,713958,0.00,0.00,0.00,0.41,0.00,0.16,0.57
